texto,sentimento,tipoInteracao,autor_anonimo
A GT esta na midia novamente  Ficamos muito felizes e orgulhosos de dividir um pouco da nossa historia dos ultimos objetivos atingidos e principalmente os planos de expansao em uma materia na revista EXAME  Se voce ainda nao viu essa nova materia corre la e confere no site da wwwexamecom  investimentos investimentoseguro exame revista midia materia GT BTG uniao,POSITIVE,marcação,163
Alerta de estagio de ferias REMOTO  Dessa vez a oportunidade e no maior Banco de Investimentos da America Latina o btgpactual perfeito para quem quer seguir carreira no mercado financeiro ou em tecnologia Se voce curtiu ja corre no nosso site para se inscrever   estagiodeferias estagio vagasdeestagio estagiario trainee universidade carreira summerjob mercadofinanceiro,POSITIVE,marcação,89
Do story para o feed  fotodetrilhoes padraobtg forbes   O caminho da conquista passa por pequenas lutas despercebidas sonhos nao contados constancia e muita confianca,NEUTRAL,marcação,395
A funcao do assessor de investimentos e auxiliar seus clientes a montarem uma carteira de investimentos de acordo com seu perfil e objetivos de vida  O assessor de investimentos e um profissional especializado responsavel por orientar os clientes em suas decisoes de investimento  A principal vantagem do assessor de investimentos e que eles sao profissionais especialistas em investimentos Trabalham apenas com investimentos com isso estao atentos as melhores oportunidades do mercado para cada perfil  btgpactual verkinvest,POSITIVE,marcação,1543
O furacao da brazilatsiliconvalley passou Agora comeca tudo de novo Pra quem nao sabe a gente trabalha o ano inteiro para colocar a conoferencia de pe E muita gente tambem nao sabe que o evento e 100 gratuito e que nos fazemos esse trabalho probono Isso faz parte do proposito e e isso que traz tanta paixao para o movimento BSV   A Brazil at Silicon Valley e um sonho E quando a gente fala de empreendedorismo a gente fala de sonhos Sonhos de pessoas que querem ver sua ideia sair do papel e impactar centenas de milhares de pessoas A Brazil at Silicon Valley promove o encontro dessas pessoas E esse sonho so e possivel porque temos patrocinadores que acreditam e investem na gente Muito obrigada aos parceiros e investidores desse ano   bankofamerica  btgpactual fundacaolemann Globo Ventures googleforstartups pinheironetoadvocacia softbank_official  stone  Valor Capital Warburg Pincus Parceiros fsbcomunicacao mckinseyco e fundacaoestudar,POSITIVE,marcação,1361
Ganhe pouco mas ganhe sempre Opere de maneira simples com o Metodo operacional desenvolvido pela WinFut Acesse winfutcombr    miniindice minidolar dolar stopgain mercado mercadofinanceiro ibov winfut wdofut soutrader daytrader somostrader liberdadefinanceira b3 comoinvestir financas minidolar  mercadofinanceiro dolar dinheiroemcasa dolarfuturo bmf ibovespa bolsadevalores somostraders mercadofinanceiro bolsadevalores vidadetrader trader traders nelogica_brasil  modalmais cmcapital clearcorretora contadoradabolsa btgpactual xpinvestimentos  vitreo ricocomvc genialinvestimentos novafuturainvestimentos toroinvestimentos b3_oficial nectoninvestimentos infomoney moneytimesbr daytrade daytrader bolsadevalores mercadofinanceiro,POSITIVE,marcação,1241
Alerta de estagio de ferias REMOTO  Dessa vez a oportunidade e no maior Banco de Investimentos da America Latina o btgpactual perfeito para quem quer seguir carreira no mercado financeiro ou em tecnologia Se voce curtiu ja corre no nosso site para se inscrever   estagiodeferias estagio vagasdeestagio estagiario trainee universidade carreira summerjob mercadofinanceiro,POSITIVE,marcação,89
Como surgiu a loft_br O que fez com que a empresa decolasse tao rapido  Em um dos eventos produzidos pelo btgpactual conversamos com Kristian Huber que contou um pouco de como foi o comeco de tudo e deixou dicas de sucesso para empreendedores   De o play e inspirese,NEUTRAL,marcação,1544
Semana de imersao do nosso time de assessoria na sede do btgpactual    docinvestimentos deumbtg investimentos btg,POSITIVE,marcação,1545
O nosso gestor de Credito Michel Rubin michelrubin foi convidado para a live do BTG Pactual btgpactual que acontece no dia 2605 as 11h  O tema da live e Credito Estruturado e a M8 foi convidada para falar sobre o mercado de FIDCs e apresentar os nossos fundos que investem nesse tipo de ativo  A live contara com a participacao de outros convidados e e fechada para os parceiros e assessores do BTG   Acesse o link na Bio e conheca os fundos de Credito da M8 Partners  m8partners btgpactual investimentos mercadofinanceiro fundosdeinvestimentos,POSITIVE,marcação,1546
Fora do mercado    Oferta publica de aquisicao OPA e um termo que ganhou destaque nas ultimas semanas com as decisoes do btgpactual e do santanderbrasil mas que ainda gera muitas duvidas    Enquanto de um lado existem empresas que fazem sua abertura de capital oferecendo acoes para o mercado no famoso IPO de outro temos aquelas que tracam o caminho contrario    Quer entender mais esse movimento Veja o carrossel  Tambem voce pode guardar para ler mais tarde curtir e compartilhar com os amigos   E sempre sigaIF para mais   RendaVariavel OfertaPublicadeAquisicao economia acoes OPA InteligenciaFinanceira IF B3 BolsaDeValores,NEUTRAL,marcação,1547
Link para o documento httpsfnetbmfbovespacombrfnetpublicoexibirDocumentoid307636  O BTG Logistica BTLG11 emitiu hoje Fato Relevante ao mercado comunicando que recebeu um pedido de cotistas A proposta e de que o fundo incorpore outros dois FIIs o V2 Properties VVPR11 e o Bluecap Renda Logistica BLCP11   Como o grupo de cotistas tem mais de 5 das cotas dos tres fundos a BTGPactual administradora dos fundos tera 30 dias para avaliar a operacao e convocar Assembleias nos tres fundos para deliberacao dos cotistas  A proposta e de que cada cota do BLCP vire 089 cota do BTLG e que cada cota do VVPR vire 0995 cota do BTLG Comparando o valor patrimonial dos fundos isso significa que as cotas serao incorporadas com desconto de 10 e 4 respectivamente  Caso a avaliacao documental e dos imoveis seja favoravel as assembleias serao convocadas e terao que ser aprovada por quorum qualificado ou seja 25 do total de cotas de cada um dos fundos envolvidos  Estou pensando em fazer um video para olhar essa operacao com mais detalhes como o impacto sobre os dividendos O que voces acham  rendapassiva investimentos,NEUTRAL,marcação,1503
Muito obrigado por todo reconhecimento btgpactual   bootcampadvisors2022 saopaulo guaruja bancobtg bancobtgpactual btgpactualadvisors,POSITIVE,marcação,1528
Ola Alguma previsao para liberar a funcao de debito automatico e recarga de celular no app banco,POSITIVE,comentário,351
Quem mais ai comecou a semana cometendo um golaco Responda nos comentarios  Nessa aula de futsal os Gaianinhos mostraram que tem muita bola no pe Agradecemos ao mincidadania pelo apoio que recebemos atraves da leideincentivoaoesporte Muito obrigada   Aproveitamos para agradecer tambem aos nossos parceiros que jogam com a gente nos bastidores btgpactual cnh_industrial basf_br e opeacapital  Voces fazem toda a diferenca   ministeriodacidadania esporte educarcomesporte educacaofisica piracicaba incentivoaoesporte,NEUTRAL,marcação,1548
Evento Conectemonos BTG Pactual    Intercambio cultural,POSITIVE,marcação,1549
Tenho MUITASSSSS fotos fodss do evento de hoje q irei postarno btgpactual  mas  e q estas mexem de mais com meu coracao  entao nao aguentei     Riqueza nao e o dinheiro  ser rico de verdade para mim e ter eles sorrindo sempre,POSITIVE,marcação,1550
Ha uma semana atras acontecia o MAIOR evento de traders do  Imersao TRP40  Ainda me pego pensando na energia de tudo isso e ao mesmo tempo ja me preparo para o proximo ser ainda MAIOR    Gostaria de agradecer infinitamente  Meus amigos  socios e parceiros ale_mastermind douglaselit paulo_mgoncalves  pelo empenho e dedicacao em ensinar  Aos palestrantes presentes pelo carinho alfredomenezes06 rossettiraony antonioformiga marcopradokim betonuzzi gabrielmaksoud danilozanini e a lenda Roberto Lombardi  A enciclopedia viva thcalestine   A todos da topgainoficial  dominvestimentos e btgpactual  q fizeram esse sonho virar realidade  Obs o prox sera em Agosto ein  tbt,NEUTRAL,marcação,1550
A gaia_mais sabe da importancia da atividade fisica no desenvolvimento das nossas criancas   E por isso que trabalhamos com uma serie de atividades e oficinas esportivas que atraves de brincadeiras e competicoes transformam a vida dos Gaiaininhos   Qual e o seu esporte favorito Responda nos comentarios Sera que a gente vai fazer uma oficina relacionada a esse esporte neste ano   Aproveitamos a oportunidade para reforcar que somos muito gratos ao mincidadania pelo apoio que recebemos atraves da leideincentivoaoesporte Agradecemos tambem aos nossos parceiros btgpactual cnh_industrial basf_br opeacapital e lumen_it   Muito obrigada   ministeriodacidadania esporte educarcomesporte educacaofisica piracicaba incentivoaoesporte,NEUTRAL,marcação,1548
Brincar de jogar basquete muita gente sabe mas voce conseguiria responder perguntas sobre esse esporte Os Gaianinhos sabem tudo sobre o basquete e estao mega preparados para o desafio  Qual e o seu esporte favorito Responda nos comentarios   Mais uma vez queremos usar dessa oportunidade para dizer que somos muito gratos ao mincidadania pelo apoio que recebemos atraves da leideincentivoaoesporte Muito obrigada   Aproveitamos para agradecer tambem aos nossos parceiros btgpactual cnh_industrial basf_br opeacapital e lumen_it  ministeriodacidadania esporte educarcomesporte educacaofisica piracicaba incentivoaoesporte,NEUTRAL,marcação,1548
Hoje  2017  Guide Investimentos BTG Pactual e Modal Premium na mesma sala SIM aqui e sem vieses e pode tudo que a etica permitir afinal todos aqui querem ajudar o brasileiro a investir melhor nao e mesmo  Nossa viagem Brasil a fora pela assessoria de investimentos continua apresentando historias singulares e mostrando o cotidiano da profissao  Hoje estaremos com  De Sao Paulo  SP  alexandreabreu72 da estruturalinvestimentos vinculada a guideinvestimentos  De Caxias do Sul  RS  caiocdecastro da gtcapital vinculada ao btgpactual  Do Rio de Janeiro  RJ  luis_renato_carvalho da rjinvestimentos vinculada ao modalpremium  1 Quer ser assessor e conhece algum dos rapazes acima 2 Quer investir e nao sabe quem pode te ajudar  Aproveite e chame algum dos nossos convidados tenho certeza que irao ajudar  So aqui voce ve a realidade como ela realmente e De maneira imparcial sem firulas marketeiras e tendo uma visao de como e o mercado por dentro  xpinvestimentos assessordeinvestimentos assessorextraordinario vidadeassessor profissaodofuturo,NEUTRAL,marcação,1058
A comercenergia assinou um contrato com o btgpactual e a energeaglobal para a compra de usinas fotovoltaicas localizadas em Minas Gerais por R 200 milhoes O anuncio foi feito nesta segundafeira 24  O acordo integra a aquisicao da totalidade das acoes de uma SPE sociedade de proposito especifico proprietaria do capital da Energea Salinas Geracao Energea Pedrinopolis Energea Patrocinio e Energea Tres Pontas  Leia a materia completa no link da bio do canalsolar Comerc Investimentos BTGPactual,NEUTRAL,marcação,1551
btgpactual virou progressista  Lamentavel Cuide com quem anda,NEGATIVE,comentário,1552
Nossos fundos de credito privado Valora Absolute Valora Guardian II e Valora Horizon acabam de entrar na plataforma do BTG Pactual e estao disponiveis para investimento   Se voce e cliente e deseja saber mais sobre os veiculos acesse nosso site Link na bio  Valora creditoprivado fundos investimento,POSITIVE,marcação,1553
Nosso sociofundador Marcelo Mesquita participou da entrevista para o Financial Times Ele comentou a volta de Andre Esteves a diretoria do BTG Patual  namidia leblonequities financialtimes,NEUTRAL,marcação,876
Amanha no Dia Nacional da Industria o Fabio Nazari socio senior do btgpactual ira mediar um painel online e ao vivo da fiesc_oficial com a participacao dos amigos   Carlos Grillo WEG  Fernando Rizzo Tupy  Joao Carlos Brega Whirlpool Corporation    Jose Ribas Junior JBS  Alem do presidente da FIESC Mario Aguiar e do diretor de inovacao da Federacao Jose Eduardo Azevedo Fiates  Para  informacoes e inscricoes gratuitas httpsfiesccombrsemanadaindustria  DiaDaIndustria Industria Investimentos Inovacao  BTG FIESC WEG TUPY WHIRLPOOL JBS,NEUTRAL,marcação,1554
O nosso Diretor de Credito Michel Rubin michelrubin foi convidado para a live do BTG Pactual btgpactual que acontece no dia 2605 as 11h  O tema da live e Credito Estruturado e a M8 foi convidada para falar sobre o mercado de FIDCs e apresentar os nossos fundos que investem nesse tipo de ativo  A live contara com a participacao de outros convidados e e fechada para os parceiros e assessores do BTG   Acesse o link na Bio e conheca os fundos de Credito da M8 Partners  m8partners btgpactual investimentos mercadofinanceiro fundosdeinvestimentos,POSITIVE,marcação,1546
Que maravilha fazer parte dessa familia Recebidos  mais_aai btgpactual,POSITIVE,marcação,1555
thiagonigro Se eu conseguisse fazer a transferencia de custodia solicitada da ricocomvc para a btgpactual ja estaria satisfeita mas nao Estao recusando a solicitacao alegando que meu documento pessoal VALIDO e ATUALIZADO esta desatualizado Piada,NEUTRAL,comentário,1556
Essas foram algumas imagens capturadas no grande evento realizado com a Lamborghini que ocorreu na ultima segundafeira 1605   Contamos com a ilustre participacao de um dos maiores nomes do automobilismo brasileiro regileme   Reginaldo falou um pouco sobre o universo do automobilismo e tirou duvidas das pessoas presentes Alem disso contamos com a participacao do btgpactual e a gestora de investimento franklintempleton que falaram sobre as perspectivas atuais do mercado financeiro  O ambiente e o cenario de luxo e inovacao proporcionado pela lamborghinisaopaulo tornou a experiencia ainda mais marcante  Arraste para o lado e confira as fotos dos melhores momentos   AvinExperience,POSITIVE,marcação,1557
Os Fundos Imobiliarios Blue Cap Renda Logistica BLCP11 e V2 Properties VVPR11 anunciaram nesta segundafeira 23 que cotistas detentores de pelo menos 5 de cotas solicitaram assembleias gerais extraordinarias AGE para decidir sobre a incorporacao dos FIIs pelo BTG Pactual Logistica BTLG11   As AGEs de cotistas dos tres FIIs ocorreriam em separado mas de maneira simultanea em uma operacao inusitada no mercado de Fundos Imobiliarios   Nas assembleias de cotistas serao tratados assuntos como troca de cotas entre os fundos incorporador e incorporados procedimento para os cotistas com numero de cotas do fundo incorporador em numero nao inteiro criterio de avaliacao dos imoveis do patrimonio liquido dos fundos objetivos da operacao e o impacto no valor dos patrimonios dos FIIs   Os administradores dos fundos tem o prazo de 30 dias para procederem com as convocacoes de AGEs   Como devem ser as trocas de cotas   De acordo com o comunicado do BTG Pactual Logistica BTLG11 cada cota do Bluecap Renda Logistica seria substituida e convertida em 089 cota do fundo A relacao de troca considera o valor de R 8900 por cota do Bluecap e o valor de R 10000 por cota do fundo A esse valor a cota do Bluecap seria incorporada com cerca de 10 de desconto ao seu patrimonio com base no valor patrimonial da cota do Bluecap FII em abril de 2022   Ja cada cota do V2 Properties FII seria substituida e convertida em 0995 cota do BTLG11 A relacao de troca considera o valo,NEUTRAL,marcação,8
FII Fundos Imobiliarios x Acoes  Uma breve analise comparativa entre eles Comenta ai qual voce prefere e e mais adepto    profittoinvestimentos btgpactual       mercadofinanceiro fiis fundosimobiliarios acoes equity rendapassiva educacaofinanceira qualidadedevida longoprazo resiliencia btgpactual assessordeinvestimentos,NEUTRAL,marcação,20
Nao e a toa que o btgpactual nao para de crescer,POSITIVE,comentário,1558
Quando falamos de Investimentos na verdade falamos sobre Gestao e Planejamento  Gestao de Patrimonio  Gestao de Riscos  Planejamento estrategico Planejamento de Vida e Sucessao  Para Investir de verdade e necessario a base o Trabalho  A partir desse ponto conseguimos tracar as melhores estrategias para que num futuro proximo o Legado seja estabelecido  Ainda quando falamos de Gestao e necessario entendermos cenarios e ciclos  O mercado exige mudancas rapidas   btgpactual  wiseaai  camilabarros_fotografia,NEUTRAL,marcação,1559
O BTG Pactual administrador do Fundo Imobiliario Edificio Galeria EDGA11 informou que os locatarios Wilson Sons e Magallanes Navegacao Brasileira manifestaram interesse de rescindir parte e de maneira antecipada o contrato para o conjunto 501 no 5o andar com area de 3049 metros quadrados   Na mudanca os inquilinos pretendem devolver 2136 metros quadrados e permanecer com 912 metros quadrados de area total   A previsao da devolucao e a partir de outubro de 2022   De acordo com o BTG Pactual a mudanca podera reduzir a receita do FII em cerca de 2583 em comparacao a marco   Caso nao obtenha sucesso em convencer os inquilinos a permanecerem com a area total o BTG Pactual fara jus a todos os valores referentes a multa por rescisao antecipada parcial segundo o comunicado   No mesmo comunicado o BTG Pactual informou que outra locataria a Inbrands que ocupa o conjunto 101 no 1o piso com 611 metros quadrados esta em processo de formalizar junto ao EDGA11 a mudanca de localizacao no Edificio Galeria para o conjunto 103 no 1o piso com 460 metros quadrados   A Inbrands tambem quer renovar o contrato de locacao com o fundo pelo periodo de 60 meses em linha com os valores praticados na regiao o que pode reduzir a receita do FII em 693 na comparacao com marco   Caso as duas operacoes sejam concretizadas a receita do fundo sera ser reduzida em 3276 sem considerar o valor da multa por rescisao antecipada   A vacancia projetada do EDGA11 sera de 5880 de,NEUTRAL,marcação,8
PROGRAMA 60 MINUTOS OLHO NO OLHO COM MARIO MOLIAN NA SUA87FM  ENTREVISTA  Mayara Santos  Investimentos Financas 1a Assessora de Investimentos de Itabaiana Socia wertinvestimentos btgpactual Graduanda Economia,NEGATIVE,marcação,1560
No proximo dia 0906 vamos receber o robertosallouti  CEO do btgpactual para bater um papo com os nossos alunos do Ibmec  Roberto e um dos executivos mais admirados do pais e certamente tem muito a nos ensinar  Estamos ansiosos para este encontro,NEUTRAL,marcação,1561
Amanha tem inicio o Congresso de Financiamento de Projetos no Setor Eletrico  Serao mais de 600 participantes e mais de 20 palestrantes compartilhando suas experiencias e debatendo diversas questoes relacionadas ao tema   Veja os palestrantes dos paineis Fundamentos conceitos e simulacao de um financiamento e ESG Elementos sociais ambientais e de governanca como vetores de mudanca em criterios de financiamento  Ah e ainda da tempo de fazer sua inscricao gratuita no nosso site,POSITIVE,marcação,1562
A VIEX realiza o 1o Congresso de Financiamento de Projetos no Setor Eletrico para debater as alternativas de financiamento e de obtencao de credito voltados aos empreendimentos do setor eletrico  O evento ira reunir representantes do Governo entidades de fomento bancos de investimentos grandes investidores publicos e privados para apresentar e debater assuntos de interesse de toda a cadeia como  estruturacao de projetos no setor eletrico aperfeicoamentos regulatorios projecao de novos leiloes para expansao da geracao e transmissao riscos nas fases de planejamento construcao e operacao dos empreendimentos linhas de credito disponiveis para as empresas viabilidade economicofinanceira Parcerias Publico Privadas entre outros assuntos  Participe  httpswwwviexamericascomeventosfinanciamentodeprojetosnosetoreletrico,NEUTRAL,marcação,1563
Guide Investimentos BTG Pactual e Modal Premium na mesma sala SIM aqui e sem vieses e pode tudo que a etica permitir afinal todos aqui querem ajudar o brasileiro a investir melhor nao e mesmo  Nossa viagem Brasil a fora pela assessoria de investimentos continua apresentando historias singulares e mostrando o cotidiano da profissao  Hoje estivemos com  De Sao Paulo  SP  alexandreabreu72 da estruturalinvestimentos vinculada a guideinvestimentos  De Caxias do Sul  RS  caiocdecastro da gtcapital vinculada ao btgpactual  Do Rio de Janeiro  RJ  luis_renato_carvalho da rjinvestimentos vinculada ao modalpremium  1 Quer ser assessor e conhece algum dos rapazes acima 2 Quer investir e nao sabe quem pode te ajudar  Aproveite e chame algum dos nossos convidados tenho certeza que irao ajudar  So aqui voce ve a realidade como ela realmente e De maneira imparcial sem firulas marketeiras e tendo uma visao de como e o mercado por dentro  assessordeinvestimentos assessorextraordinario vidadeassessor profissaodofuturo investimentos b3 rendavariavel rendafixa,POSITIVE,marcação,1058
Exatos 1 ano e 1 semana apos nossa mudanca pro btgpactual alcancamos o 1o lugar do ranking do banco   Trabalhamos pra subir posicoes Nao Trabalhamos todo dia muito e de forma obcecada pra mostrar o melhor caminho para cada um de nossos investidores Mas se estivermos no topo do ranking melhor ainda afinal de contas e mais um sinal de que estamos no caminho certo   Todos os dias tomamos dezenas de decisoes 100 delas pensando em como proporcionar algo melhor para nossos investidores Depois para nosso time   Lugarcomum cliche Sim Mas e o que fazemos E nao vamos parar   acquavero,NEGATIVE,marcação,639
Ontem completou 5 meses que iniciei o projeto de vida junto a acquavero aqui no Rio de Janeiro   Alem disso ontem tambem recebemos do nosso socio btgpactual o ranking geral de empresas de investimentos do B2B onde atingimos a posicao de 1 Lugar   Dentro do meu historico profissional poucas vezes acreditei em coincidencias acreditei sempre em trabalho duro constancia e resiliencia E ontem ao receber essa noticia alem de ver que estamos no caminho certo fiquei bem entusiasmado com o que ja estamos fazendo dentro do mercado financeiro e tambem do que iremos fazer no curto medio e longo prazo   Para finalizar apenas agradecer a confianca do nosso board  e dizer que cada dia mais trabalharemos para ser melhores para nossos clientes    O melhor vem quando o melhor e necessario          investimentos acquavero mercadofinanceiro financial wealth investment,POSITIVE,marcação,1564
acquavero e 1 dos escritorios btgpactual no mes de abril  Qualidade e a marca registrada de nossos profissionais e clientes Manteremos a evolucao segavin   Seguimos  segurosdevida  segurosaude  investimentos,NEUTRAL,marcação,837
O BOOTCAMP 2022 do btgpactual rolou nesta ultima semana no sofiteljequitimar em GuarujaSP  Para este evento estruturamos toda a parte de Sonorizacao e Iluminacao atendendo a todas exigencias da Producao e Direcao da agenciagude    Na Foto nosso console soundcraftmixers Vi400  Valeuuu tecnopontavideo e agenciagude   sb7someluz sb7corporativo someluz eventocorporativo livemkt livemarketing somoslivemkt somoslivemarketing btg btgpactual sofiteljequitimar,NEUTRAL,marcação,1010
Azul sao as cores da minha paixao  gremio gtcapital btg,POSITIVE,marcação,163
Se liga nessa comunidade  Precisamos apoiar os players que finalmente perceberam que o nosso negocio e o que mais cresce no mundo  btgpactual sumicity universidadedevassouras sebraerj vinylol1 viniciusverlyb gabriel_wilbert_ faculdadeunivertixtr,NEUTRAL,marcação,1565
Recebemos recentemente mais uma noticia muito importante para a historia da Acqua Vero Atingimos a primeira colocacao entre os escritorios vinculados do banco BTG Pactual no mes de abril de 2022   O destaque vem em um momento ja muito importante para nos Estamos completando 1 ano de sociedade com o BTG Pactual e nao poderiamos estar mais felizes com o sucesso dessa parceria   Mais do que o topo do ranking o resultado demonstra o nosso desejo incessante de chegar mais longe voar mais alto e levar a melhor experiencia de investimentos para os nossos clientes ao redor do Brasil   Esse e apenas mais um passo de uma historia cada vez mais vitoriosa e o nosso sentimento de ainda estar no comeco de tudo segue o mesmo   Nada disso seria possivel sem a dedicacao de todos os nossos socios colaboradores e principalmente nossos clientes,POSITIVE,marcação,1566
BTG com as novas cores  PRETO  o App ficou horrivel e nao tem nada haver com o estilo do BTG Pelo amor de Deus  volta as cores antigas,NEGATIVE,comentário,1567
A palavra investimento e usada em varios contextos Por exemplo invista em sua carreira Ou ainda invista no seu futuro Mas voce sabe o que e investimento em relacao ao dinheiro  A premissa basica para que algo seja considerado um investimento e que ele traga dinheiro Ou seja investir e usar o seu dinheiro para gerar mais dinheiro  Rubens Souza e especialista em renda variavel do Banco EvoluxInvestimentos e esteve no Super i Noticias de hoje e deu uma verdadeira aula sobre tudo que voce precisa aprender sobre o mundo dos investimentos   A resenha completa voce confere a partir de 1200 na tela da Super i TV,POSITIVE,marcação,1568
O Fundo de Investimento nas Cadeias Produtivas Agroindustriais Fiagro Capitania Agro Strategies CPTR11 tera a 2a emissao de novas cotas em oferta publica sob a instrucao CVM 400 para a captacao de ate R 250 milhoes   A data de inicio da oferta ainda sera divulgada pelo administrador do fundo o BTG Pactual   O preco da nova cota  ainda a ser informado ao mercado  sera correspondente ao valor patrimonial atualizado das cotas disponivel ate as 8h dois dias uteis antes da data de divulgacao do anuncio de inicio da oferta   O periodo de exercicio de direito de preferencia ao cotista do FII sera ate o 9o dia util apos o inicio do periodo de exercicio do direito de preferencia junto a B3 e ate o 10o dia util junto ao escriturador   A taxa de distribuicao na oferta sera de 410 do preco de emissao   Um eventual saldo positivo da taxa de distribuicao sera incorporado ao patrimonio do fundo No entanto eventuais custos e despesas da oferta nao arcados pela taxa serao de responsabilidade do fundo de acordo com o comunicado    Saiba mais no link do Stories Bio ou acesse wwwclubefiinewscombr   fundosimobiliarios fiis CPTR11 agronegocio mercadoimobiliario fundoimobiliario realestate imoveis mercadofinanceiro investimentos rendapassiva,POSITIVE,marcação,8
Esse e meu 6o ano no worldeconomicforum e sempre me surpreendendo com a qualidade das discussoes a possibilidade de conectar tantas liderancas  O timefamilia que faz tudo acontecer comigo Vittorio Perona Senior Partner do IBD Andre Portilho PartnerHead de Digital Assets Huw Jenkins ViceChairman btgpactual Foram 32 reunioes  eventos e concluindo com muito sucesso e negocios,NEUTRAL,marcação,94
La Asociacion de Fiduciarias tiene como proposito central ampliar y mejorar el conocimiento del instrumento fiduciario los FIC y de la custodia de valores Aqui httpbitly2NyKyNa encontrara toda la informacion relacionada con la actividad que ejerce una Sociedad Fiduciaria en Colombia Asofiduciarias EducacionFinanciera Finanzas,NEGATIVE,marcação,1569
Felicidade imensa por estar fazendo parte de um dos maiores escritores de renda variavel vinculado ao maior Banco de Investimentos da America Latina  dominvestimentos  btgpactual,POSITIVE,marcação,1570
Fazendo historia Ajustando as velas btgpactual,NEUTRAL,marcação,1571
Fazendo historia  Bootcamp 2022  btgpactual,POSITIVE,marcação,1571
Hoje estivermos no Parque Tecnologico no evento Rompendo Barreiras Novos rumos para negocios globais entendendo melhor nossos clientes e  formando novas parceiras para cambio e hedge  investimentos investir financas financas cambio hedge operacoesfinanceiras importacao importacao exportacao exportacao,NEGATIVE,marcação,1525
Amanha comeca a Expo Industria Maranhao Produzida pelo sistemafiema e um encontro que reune mais de 200 expositores em um grande encontro que promove a sustentabilidade e a inovacao a fim de fortalecer marcas gerar negocios e fomentar a competividade local  Neste primeiro encontro contaremos com Anderson Carvalho Corporate Solutions do btgpactual   Va   Faca sua inscricao no site da Expo Industria Maranha e participe,NEUTRAL,marcação,173
Link na bio Se eu pedir para voce falar um pouco sobre investimentos o que vem a sua cabeca Tesouro direto acoes previdencia fundos imobiliarios  Todas essas respostas seriam plausiveis sem duvida Mas existe um investimento que vem antes de todos esses e que e o segredo de todas as pessoas que atingem o sucesso financeiro investir em conhecimento  LINK httpswwwamgcapitalcombrblogfinancasinvestiremconhecimentoachaveparaoprogresso   wwwamgcapitalcombr  Email contatoamgcapitalcombr  Credenciados a btgpactual   Telefones Sao Paulo 11 3077 4600 Porto Alegre 51 3557 1880 Florianopolis 48 3371 4611   DISCLAIMER Este post e de carater informativo e nao constitui uma oferta de compra ou de venda de ativos financeiros  AMGCapital btgpactual Investimentos Acoes FIIs TesouroDireto LCI LCA CDB ETFs Debentures IR economia ibovespa educacaofinanceira,NEUTRAL,marcação,697
Continuo bebendo na mesma quantidade esses analistas da btgpactual acredito que nao tomem uma,NEGATIVE,comentário,1572
A cultura engole a estrategia no cafe da manha Peter Ducker   Me sentindo em casa  acquavero btgpactual,NEUTRAL,marcação,1573
Simbora para mais uma etapa do Circuito Mundial de Beach Tennis  ITF    BT 10 e BT 50 de Vila VelhaES na Praia da Costa itfinternacionalvilavelha2022  Dessa vez terei o prazer de jogar ao lado do parceiro cristianograbner Vamos com tudo  Pra cima    Patrocinadores e apoiadores  mormaii_beachtennis  mormaiipb  tiebeachtennis  tiebeachtenniscg  pitacobr  octocapitalbr  btgpactualempresas  btgpactual  contafacio  spotenapp  arenabtcampina  ctmpilates  fisioliviaventura  mix_suplementos  azodigital   mormaiibeachtennis itf beachtennis beachtennisbrasileiro beachtennisworld beachtennisnordeste beachtennisplayer beachtennislife beachtennislifestyle,NEUTRAL,marcação,1307
E horrivel isso mas fico feliz em saber que o btgpactual tem mudado isso todas as minhas superiores sao mulheres,POSITIVE,comentário,1574
O melhor morning call  do Brasil as 8h30 com jersonzanlorenzi  btgpactual imperdivel,POSITIVE,comentário,1575
Ontem estive em um bate papo com o pessoal da IFL  Instituto de Formacao de Lideres  Sao Paulo  O grupo e composto por jovens estudantes que juntos buscam os melhores formatos de aprendizados trocas e aprimoramento para se tornarem futuros lideres alguns ja sao fundadores de startups que prometem fazer um barulho por ai   A regua dessa turma e alta Quem esteve batendo um papo com eles nas ultimas semanas foram nomes como Roberto Sallouti CEO do btgpactual  Florian Bartunrk CEO da Constelattion e Stephen Hicks  Parabens pelo trabalho e pelas provocacoes super pertinentes Voces ja dao um baile e vao voar alto  wg weirdgarage inovacao cultura gestao startup lideranca geracaoz futurodotrabalho,NEUTRAL,marcação,1085
antonioviniciusof e chrislandim receberam no dia 2205 em Monaco o reconhecimento da Prudential pelo 2o Lugar na operacao Brasileira dos escritorios do BTG PACTUAL  Proteger nossos clientes suas familias seus negocios e suas historias e motivo de grande orgulho para nos da VERK INVESTIMENTOS,POSITIVE,marcação,1576
